problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,2310001,56,0,12,12,3127.038237,260.58651975,12070.19118387,108,101,4,0,132,20,1,25414,0,24,24,28,0.1070469,seven_point_per_channel,0,0
3,2310002,56,0,12,12,2949.296189,245.7746824167,11071.48094864,113,107,1,0,104,15,5,19894,0,17,16,27,0.0924701,seven_point_per_channel,0,0
3,2310003,56,0,15,15,3191.55293,212.7701953333,12422.7646549,104,97,5,0,185,22,3,35243,0,24,24,32,0.1558871,seven_point_per_channel,0,0
3,2310004,56,0,14,14,3082.181134,220.1557952857,11550.9056659,116,107,5,0,143,21,4,29408,0,27,27,32,0.1215124,seven_point_per_channel,0,0
3,2310005,56,0,16,16,2635.35617,164.709760625,9706.78084578,103,96,1,0,130,19,2,25325,0,43,40,26,0.1046705,upper_bound_16,0,0
3,2310006,56,0,14,14,3432.612926,245.1866375714,13278.06463226,116,106,7,0,126,22,4,23318,0,25,24,33,0.104146,seven_point_per_channel,0,0
3,2310007,56,0,14,14,2992.644232,213.7603022857,11443.22116172,106,98,2,0,144,14,5,26647,0,31,29,26,0.1167746,seven_point_per_channel,0,0
3,2310008,56,0,14,14,3429.949535,244.9963953571,13434.74768165,111,100,6,0,109,21,4,23668,0,23,21,32,0.0950142,seven_point_per_channel,0,0
3,2310009,56,0,16,16,2868.935456,179.308466,10909.6772949,101,93,3,0,181,21,2,38777,0,31,30,30,0.1593477,upper_bound_16,0,0
3,2310010,56,0,16,16,3403.127151,212.6954469375,13315.63576024,110,101,3,0,197,18,6,40288,0,36,35,31,0.1704015,upper_bound_16,0,0
3,2310011,56,0,12,12,2969.810087,247.4841739167,11064.05043196,115,107,5,0,115,20,4,24996,0,17,17,31,0.1000171,seven_point_per_channel,0,0
3,2310012,56,0,13,13,2976.181697,228.9370536154,11485.90849428,103,93,2,0,63,17,1,13341,0,23,22,25,0.0557509,seven_point_per_channel,0,0
3,2310013,56,0,15,15,2852.729089,190.1819392667,10353.64543731,117,107,5,0,127,25,3,27304,0,26,26,35,0.1103789,seven_point_per_channel,0,0
3,2310014,56,0,11,11,2838.862385,258.0783986364,10279.31191839,119,115,6,0,84,21,2,17996,0,15,14,30,0.0690344,seven_point_per_channel,0,0
3,2310015,56,0,12,12,3078.731273,256.5609394167,11693.65636555,112,102,6,0,120,22,1,26440,0,22,22,30,0.113095,seven_point_per_channel,0,0
3,2310016,56,0,11,11,3322.149284,302.0135712727,12505.74640305,126,112,8,0,88,19,6,18673,0,15,15,32,0.0729052,seven_point_per_channel,0,0
3,2310017,56,0,13,13,2981.199717,229.3230551538,11040.99857524,117,114,3,0,73,21,2,15496,0,18,16,30,0.0633005,seven_point_per_channel,0,0
3,2310018,56,0,11,11,2954.583601,268.5985091818,11022.91799387,116,109,2,0,138,18,1,31446,0,19,19,26,0.1347866,seven_point_per_channel,0,0
3,2310019,56,0,12,12,2993.830421,249.4858684167,11374.15209603,109,99,5,0,126,18,2,23745,0,23,23,27,0.1058161,seven_point_per_channel,0,0
3,2310020,56,0,12,12,3140.813755,261.7344795833,11874.06877519,117,109,4,0,99,17,4,19513,0,23,23,28,0.0802643,seven_point_per_channel,0,0
3,2310021,56,0,11,11,2872.435166,261.1304696364,10812.17582172,107,102,6,0,136,20,2,27912,0,17,17,29,0.1194952,seven_point_per_channel,0,0
3,2310022,56,0,14,14,2957.30351,211.235965,11226.51755032,107,101,2,0,125,19,3,28681,0,20,20,29,0.1132278,seven_point_per_channel,0,0
3,2310023,56,0,10,10,2935.156077,293.5156077,10890.78038445,118,111,2,0,77,11,4,16849,0,18,18,22,0.0748774,seven_point_per_channel,0,0
3,2310024,56,0,16,16,3362.113051,210.1320656875,13130.56525082,108,101,5,0,166,23,4,33625,0,27,27,34,0.146939,upper_bound_16,0,0
3,2310025,56,0,16,16,3001.386454,187.586653375,11736.93227754,93,85,8,0,243,22,5,50050,0,35,35,33,0.2141017,upper_bound_16,0,0
3,2310026,56,0,11,11,2926.850407,266.0773097273,11039.25203667,111,103,2,0,76,13,4,15877,0,15,14,24,0.0664552,seven_point_per_channel,0,0
3,2310027,56,0,12,12,3269.307245,272.4422704167,12491.53621861,119,110,2,1,58,15,3,11143,0,16,15,25,0.0451864,seven_point_per_channel,0,0
3,2310028,56,0,10,10,3008.431971,300.8431971,11272.15986786,115,105,8,0,74,16,5,16052,0,14,14,28,0.0653447,seven_point_per_channel,0,0
3,2310029,56,0,15,15,3121.765445,208.1176963333,12033.8272137,106,92,6,0,224,25,2,43601,0,30,29,34,0.188758,seven_point_per_channel,0,0
3,2310030,56,0,15,15,3035.325326,202.3550217333,11546.62662031,106,97,8,1,194,22,6,34937,0,32,30,35,0.1495696,seven_point_per_channel,0,0
3,2310031,56,0,14,14,2999.537066,214.2526475714,11587.68533149,100,97,5,0,189,25,0,39652,0,19,17,32,0.1523761,seven_point_per_channel,0,0
3,2310032,56,0,14,14,3108.022979,222.0016413571,11885.11489983,108,100,7,0,132,22,2,25319,0,24,24,31,0.1062026,seven_point_per_channel,0,0
3,2310033,56,0,12,12,3176.991923,264.7493269167,12109.95961994,117,107,1,0,100,13,4,21697,0,22,22,24,0.087259,seven_point_per_channel,0,0
3,2310034,56,0,14,14,3065.938423,218.9956016429,11534.69211715,114,104,5,0,97,22,2,19283,0,24,24,31,0.0799519,seven_point_per_channel,0,0
3,2310035,56,0,13,13,3235.526951,248.8866885385,12392.63475307,115,108,3,0,103,15,6,22910,0,22,22,28,0.0914562,seven_point_per_channel,0,0
